case_id,model,temperature,trial,judge,sbar_section,sentence
P1,claude,1.0,25,gpt4o,S,食事摂取量5割で、1週間で1kg体重減少しています。
P2,claude,1.0,8,gpt4o,R,また、夫への疼痛時対応マニュアルの説明方針についてご確認い
P2,claude,1.0,18,gpt4o,R,夫向け疼痛時対応マニュアルの確認方法についてご指示
P2,claude,1.0,24,gpt4o,R,緊急性は
P3,claude,0.0,19,gpt4o,R,ご指示を
P3,claude,1.0,6,gpt4o,R,身体面での治療変更は現時
P3,claude,1.0,21,gpt4o,R,緩和ケアチームカンファレンスで霊的支援を議題として共有し、多職種での継続的関わりの方針についてご指示をいただき
P3,claude,1.0,27,gpt4o,A,緊急性は低いですが、QOL維持に重要です。
A2,gpt,1.0,9,gpt4o,S,認知症の増悪症状あり。
A2,gpt,1.0,20,gpt4o,S,夏季の脱水で転倒感あり。
A2,gpt,1.0,6,gpt4o,B,意識混濁と起立性低血圧があります。
A2,gpt,1.0,23,gpt4o,A,誤認識は脱水が一因と考えられる。
A3,gpt,1.0,9,gpt4o,A,夜間の憩が睡眠障害を引き起こしています。
A3,gpt,1.0,24,gpt4o,B,酸素療法の継続が必要で、在宅酸素療法の導入を予定しています。
C2,gpt,1.0,20,gpt4o,R,訪問看護師による退院後のモニタリングを提案します。
C3,gpt,1.0,8,gpt4o,S,患者は65歳女性、変形性膝関節症でTKA予定。
C3,gpt,1.0,17,gpt4o,A,慢性自慰症を持つ患者で、多モード鎮痛（神経ブロック・アセトアミノフェン中心）の計画が推奨されます。
P3,gpt,1.0,5,gpt4o,R,本人の信仰背景に応じた支援を提供する。
A1,gemini,1.0,25,gpt4o,B,バイタル安定。
A1,gemini,1.0,25,gpt4o,B,創部処置良好。
A2,gemini,1.0,11,gpt4o,B,母親は夏季の脱水で救急搬送された。
A2,gemini,1.0,6,gpt4o,S,娘は、母親の徘徊と認知症の進行を心配している。
A2,gemini,1.0,22,gpt4o,B,昨日より食欲低下、水分摂取量減少。
A3,gemini,1.0,5,gpt4o,B,40代で禁煙。
A3,gemini,1.0,25,gpt4o,B,経口摂取、自己喀出は可能。
C1,gemini,1.0,8,gpt4o,B,血糖値はコントロール中。
C1,gemini,1.0,19,gpt4o,B,血糖値は良好だが、自己管理継続が課題。
C3,gemini,1.0,10,gpt4o,R,必要なら鎮静剤検討。
P1,gemini,1.0,22,gpt4o,B,4クール目化学療法導入前日。
P1,gemini,1.0,11,gpt4o,S,検診結果も不明瞭。
P2,gemini,1.0,17,gpt4o,S,患者・夫ともに在宅緩和ケア移行を希望。
P3,gemini,1.0,17,gpt4o,B,独身でご家族との関わりは希薄です。
